steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,0,1,0,1,1,0,3,0,0,3,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,1,0,0,0,2,0,5,0,0,0,0,0
8,2,10,0,1,1,2,8,7,3,5,25,1,2
9,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,1,0,0,1,0,0
11,10,1,0,0,1,1,0,15,0,0,7,0,0
12,1,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,0,1,0,0,5,0,0,0,0,0
21,1,5,0,0,0,0,1,0,0,1,6,0,0
23,1,0,0,0,1,0,0,6,0,0,1,0,0
24,1,0,0,0,0,0,0,1,0,0,0,0,0
25,1,2,0,0,1,8,9,1,1,0,1,1,0
27,0,0,0,0,2,1,6,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0
30,3,1,0,0,0,0,1,0,0,0,2,0,0
31,1,1,0,0,2,1,0,5,1,0,1,0,0
33,0,1,0,0,1,0,2,6,0,0,1,1,0
34,16,6,0,0,3,2,7,4,0,0,10,0,1
35,0,7,0,0,0,3,1,1,0,2,1,0,1
36,38,2,3,2,4,2,4,2,2,1,16,5,1
37,0,0,0,0,0,0,1,0,1,0,0,0,0
40,0,0,0,0,0,0,1,1,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0
42,0,1,0,0,0,0,2,5,0,0,0,0,0
43,0,1,0,0,1,0,0,1,0,0,0,0,0
45,0,0,0,0,1,0,0,3,0,1,1,0,0
46,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,2,0,1,9,0,0,0,0,0
51,1,10,0,0,2,13,34,1,3,4,2,5,1
54,0,2,0,0,0,0,1,0,0,0,0,0,0
55,1,0,0,0,0,0,0,2,0,0,0,0,0
58,0,0,0,0,0,1,4,0,0,0,0,1,0
59,0,2,1,0,0,5,1,0,0,0,0,0,0
60,0,0,0,0,0,0,2,1,0,0,0,0,0
62,0,0,0,0,0,0,0,6,0,0,2,0,0
