steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
8,2,0,0,0,0,2,0,0,1,1,0,0
21,1,0,0,0,0,1,0,0,0,1,0,0
25,1,0,0,1,6,6,0,1,0,1,0,0
27,0,0,0,1,1,5,0,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0
36,7,1,1,2,1,2,0,1,1,6,3,1
37,0,0,0,0,0,1,0,1,0,0,0,0
42,0,1,0,0,0,1,1,0,0,0,0,0
51,1,9,0,1,8,23,0,2,3,1,2,1
58,0,0,0,0,0,2,0,0,0,0,0,0
59,0,0,0,0,1,1,0,0,0,0,0,0
63,0,0,0,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0
81,0,0,0,0,0,0,0,1,0,0,0,0
83,0,0,0,0,0,2,0,0,0,1,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0,0,0,0
88,0,1,0,0,0,2,0,0,0,0,0,0
95,0,6,0,0,11,59,0,6,4,0,0,4
103,0,1,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,1,0,0,1,0
118,0,0,0,0,0,0,0,1,0,0,0,0
120,0,0,0,0,0,0,0,1,0,0,0,0
123,0,0,0,0,1,0,0,0,0,0,0,0
135,0,0,0,0,0,1,0,0,0,0,0,0
140,0,1,0,1,3,7,0,0,1,0,0,1
147,1,2,0,1,0,9,0,1,1,2,1,0
150,0,1,0,0,1,4,0,1,0,0,0,0
174,0,0,0,0,1,0,0,0,0,0,0,0
209,0,0,0,0,0,1,0,0,0,0,0,0
211,0,0,0,0,1,9,0,0,1,0,0,1
212,0,0,0,0,2,0,0,0,0,0,0,0
216,0,0,0,0,0,2,0,0,0,0,0,0
220,0,0,0,0,0,2,0,0,0,1,0,0
222,0,2,0,0,0,5,0,0,0,1,0,0
225,0,0,0,0,0,1,0,1,0,0,1,0
231,0,0,0,0,0,1,0,0,0,0,0,0
232,0,0,0,0,0,0,0,1,0,0,0,0
233,0,0,0,0,0,19,0,4,0,0,2,1
234,0,0,0,0,0,2,0,0,0,1,0,0
235,0,1,0,0,1,1,0,0,1,0,0,1
238,0,5,0,0,0,2,0,3,2,0,0,1
242,0,0,0,0,0,4,0,0,0,0,0,0
244,0,0,0,0,0,0,0,1,0,0,0,0
245,0,0,0,0,0,1,0,0,0,0,0,0
248,0,1,0,0,0,0,1,0,0,0,0,0
252,0,0,0,0,2,1,0,0,0,0,0,0
263,0,0,0,0,0,0,0,1,0,0,1,0
265,0,0,0,0,0,5,0,0,0,0,0,0
266,0,0,0,0,0,1,0,0,0,0,0,0
268,0,1,0,0,1,0,0,0,0,0,0,0
270,0,0,0,0,1,2,0,0,0,0,0,0
273,0,0,0,0,0,2,0,0,0,0,0,0
275,0,0,0,0,1,0,0,0,0,0,0,0
276,0,0,0,0,0,1,0,0,0,0,0,0
277,0,3,0,0,1,10,0,0,0,0,0,0
287,0,1,0,0,0,0,0,1,0,0,0,0
